Error No. (DEC),Error No. (HEX),Description
2147746064,0x80040110,Class does not support aggregation (or class object is remote)
2147746065,0x80040111,ClassFactory cannot supply requested class
2147746066,0x80040112,Class is not licensed for use
2147746112,0x80040140,Error drawing view
2147746128,0x80040150,Could not read key from registry
2147746129,0x80040151,Could not write key to registry
2147746130,0x80040152,Could not find the key in the registry
2147746131,0x80040153,Invalid value for registry
2147746132,0x80040154,Class not registered
2147746133,0x80040155,Interface not registered
2147746134,0x80040156,Threading model entry is not valid
2147746144,0x80040160,CATID does not exist
2147746145,0x80040161,Description not found
2147746148,0x80040164,No package in the software installation data in the Active Directory meets this criteria.
2147746149,0x80040165,Deleting this will break the referential integrity of the software installation data in the Active Directory.
2147746150,0x80040166,The CLSID was not found in the software installation data in the Active Directory.
2147746151,0x80040167,The software installation data in the Active Directory is corrupt.
2147746152,0x80040168,There is no software installation data in the Active Directory.
2147746153,0x80040169,There is no software installation data object in the Active Directory.
2147746154,0x8004016A,The software installation data object in the Active Directory already exists.
2147746155,0x8004016B,The path to the software installation data in the Active Directory is not correct.
2147746156,0x8004016C,A network error interrupted the operation.
2147746157,0x8004016D,The size of this object exceeds the maximum size set by the Administrator.
2147746158,0x8004016E,The schema for the software installation data in the Active Directory does not match the required schema.
2147746159,0x8004016F,An error occurred in the software installation data in the Active Directory.
2147746160,0x80040170,Cache not updated
2147746176,0x80040180,No verbs for OLE object
2147746177,0x80040181,Invalid verb for OLE object
2147746208,0x800401A0,Undo is not available
2147746209,0x800401A1,Space for tools is not available
2147746240,0x800401C0,OLESTREAM Get method failed
2147746241,0x800401C1,OLESTREAM Put method failed
2147746242,0x800401C2,Contents of the OLESTREAM not in correct format
2147746243,0x800401C3,There was an error in a Windows GDI call while converting the bitmap to a DIB
2147746244,0x800401C4,Contents of the IStorage not in correct format
2147746245,0x800401C5,Contents of IStorage is missing one of the standard streams
2147746246,0x800401C6,There was an error in a Windows GDI call while converting the DIB to a bitmap.
2147746256,0x800401D0,OpenClipboard Failed
2147746257,0x800401D1,EmptyClipboard Failed
2147746258,0x800401D2,SetClipboard Failed
2147746259,0x800401D3,Data on clipboard is invalid
2147746260,0x800401D4,CloseClipboard Failed
2147746272,0x800401E0,Moniker needs to be connected manually
2147746273,0x800401E1,Operation exceeded deadline
2147746274,0x800401E2,Moniker needs to be generic
2147746275,0x800401E3,Operation unavailable
2147746276,0x800401E4,Invalid syntax
2147746277,0x800401E5,No object for moniker
2147746278,0x800401E6,Bad extension for file
2147746279,0x800401E7,Intermediate operation failed
2147746280,0x800401E8,Moniker is not bindable
2147746281,0x800401E9,Moniker is not bound
2147746282,0x800401EA,Moniker cannot open file
2147746283,0x800401EB,User input required for operation to succeed
2147746284,0x800401EC,Moniker class has no inverse
2147746285,0x800401ED,Moniker does not refer to storage
2147746286,0x800401EE,No common prefix
2147746287,0x800401EF,Moniker could not be enumerated
2147746288,0x800401F0,CoInitialize has not been called.
2147746289,0x800401F1,CoInitialize has already been called.
2147746290,0x800401F2,Class of object cannot be determined
2147746291,0x800401F3,Invalid class string
2147746292,0x800401F4,Invalid interface string
2147746293,0x800401F5,Application not found
2147746294,0x800401F6,Application cannot be run more than once
2147746295,0x800401F7,Some error in application program
2147746296,0x800401F8,DLL for class not found
2147746297,0x800401F9,Error in the DLL
2147746298,0x800401FA,Wrong OS or OS version for application
2147746299,0x800401FB,Object is not registered
2147746300,0x800401FC,Object is already registered
2147746301,0x800401FD,Object is not connected to server
2147746302,0x800401FE,Application was launched but it didn't register a class factory
2147746303,0x800401FF,Object has been released
2147746305,0x80040201,An event was unable to invoke any of the subscribers
2147746307,0x80040203,A syntax error occurred trying to evaluate a query string
2147746308,0x80040204,An invalid field name was used in a query string
2147746309,0x80040205,An unexpected exception was raised
2147746310,0x80040206,An unexpected internal error was detected
2147746311,0x80040207,The owner SID on a per-user subscription doesn't exist
2147746312,0x80040208,A user-supplied component or subscriber raised an exception
2147746313,0x80040209,An interface has too many methods to fire events from
2147746314,0x8004020A,A subscription cannot be stored unless its event class already exists
2147746315,0x8004020B,Not all the objects requested could be removed
2147746316,0x8004020C,"COM+ is required for this operation, but is not installed"
2147746317,0x8004020D,Cannot modify or delete an object that was not added using the COM+ Admin SDK
2147746318,0x8004020E,Cannot modify or delete an object that was added using the COM+ Admin SDK
2147746319,0x8004020F,The event class for this subscription is in an invalid partition
2147746320,0x80040210,The owner of the PerUser subscription is not logged on to the system specified
2147750665,0x80041309,Trigger not found.
2147750666,0x8004130A,One or more of the properties that are needed to run this task have not been set.
2147750667,0x8004130B,There is no running instance of the task to terminate.
2147750668,0x8004130C,The Task Scheduler Service is not installed on this computer.
2147750669,0x8004130D,The task object could not be opened.
2147750670,0x8004130E,The object is either an invalid task object or is not a task object.
2147750671,0x8004130F,No account information could be found in the Task Scheduler security database for the task indicated.
2147750672,0x80041310,Unable to establish existence of the account specified.
2147750673,0x80041311,Corruption was detected in the Task Scheduler security database; the database has been reset.
2147750674,0x80041312,Task Scheduler security services are available only on Windows NT.
2147750675,0x80041313,The task object version is either unsupported or invalid.
2147750676,0x80041314,The task has been configured with an unsupported combination of account settings and run time options.
2147750677,0x80041315,The Task Scheduler Service is not running.
2147799040,0x8004D000,Another single phase resource manager has already been enlisted in this transaction.
2147799041,0x8004D001,A retaining commit or abort is not supported
2147799042,0x8004D002,The transaction failed to commit for an unknown reason. The transaction was aborted.
2147799043,0x8004D003,Cannot call commit on this transaction object because the calling application did not initiate the transaction.
2147799044,0x8004D004,"Instead of committing, the resource heuristically aborted."
2147799045,0x8004D005,"Instead of aborting, the resource heuristically committed."
2147799046,0x8004D006,"Some of the states of the resource were committed while others were aborted, likely because of heuristic decisions."
2147799047,0x8004D007,"Some of the states of the resource may have been committed while others may have been aborted, likely because of heuristic decisions."
2147799048,0x8004D008,The requested isolation level is not valid or supported.
2147799049,0x8004D009,The transaction manager doesn't support an asynchronous operation for this method.
2147799050,0x8004D00A,Unable to enlist in the transaction.
2147799051,0x8004D00B,"The requested semantics of retention of isolation across retaining commit and abort boundaries cannot be supported by this transaction implementation, or isoFlags was not equal to zero."
2147799052,0x8004D00C,There is no resource presently associated with this enlistment
